Month_Year,Country,Month_Ahead_FX,CEP_Log,RER_Level,Momentum_Log,DXY_Level,FX_Vol_Abs,TED_Rel,VIX_Rel,NBER,Row,Column
2021-Jun,Ireland,0.001264489,0.00037804,100.39,0.017077509,111.2252,0.0037,-0.2857,-0.1417,0,8,13
2021-Jun,Indonesia,0.002417546,0.00411948,97.73,0.011492378,111.2252,0.0023,-0.2857,-0.1417,0,8,14
2021-Jun,Netherlands,0.001264489,0.00754763,100.24,0.017077509,111.2252,0.0037,-0.2857,-0.1417,0,8,15
2021-Jun,Denmark,0.000845477,0.00069478,99.33,0.016890972,111.2252,0.0037,-0.2857,-0.1417,0,8,16
2021-Jun,Malaysia,-0.016252748,0.00393558,98.61,-0.007060285,111.2252,0.0019,-0.2857,-0.1417,0,8,17
2021-Jun,Colombia,-0.033332045,0.00868189,96.93,0.012251433,111.2252,0.0088,-0.2857,-0.1417,0,8,18
2021-Jun,Peru,-0.055394569,-0.00211338,85.9,-0.013336161,111.2252,0.0115,-0.2857,-0.1417,0,8,19
2021-Jun,Norway,-0.024372682,0.01479738,106.21,-0.001334095,111.2252,0.0072,-0.2857,-0.1417,0,8,20
2021-Jun,New_Zealand,-0.00114646,0.00030489,105.82,0.01497117,111.2252,0.006,-0.2857,-0.1417,0,8,21
2021-Jun,South_Africa,-0.020437898,0.00403572,114.88,0.054990264,111.2252,0.0099,-0.2857,-0.1417,0,8,22
2021-Jun,Chile,-0.032935298,-0.01075043,105.56,-0.016933113,111.2252,0.0069,-0.2857,-0.1417,0,8,23
2021-Jun,Canada,-0.006113275,0.00403805,106.93,0.018644538,111.2252,0.0042,-0.2857,-0.1417,0,8,24
2021-Jun,Australia,-0.020752665,0.00847855,107.08,0.002330098,111.2252,0.0057,-0.2857,-0.1417,0,8,25
2021-Jun,Mexico,0.003820444,0.00168553,106.12,0.01393527,111.2252,0.009,-0.2857,-0.1417,0,8,26
2021-Jun,Brazil,-0.047883107,-0.00017982,101.92,0.041193006,111.2252,0.0089,-0.2857,-0.1417,0,8,27
2021-Jun,Russia,-0.001335182,0.01353976,98.84,0.025740927,111.2252,0.0044,-0.2857,-0.1417,0,8,28
2021-May,Ireland,-0.030733316,0.00125225,101.02,0.024426381,112.6426,0.004,-0.1765,0.1343,0,9,13
2021-May,Indonesia,-0.015294007,0.00816765,97.93,0.005524876,112.6426,0.0031,-0.1765,0.1343,0,9,14
2021-May,Netherlands,-0.030733316,0.00964242,100.67,0.024426381,112.6426,0.004,-0.1765,0.1343,0,9,15
2021-May,Denmark,-0.030682965,0.00271037,99.83,0.024560901,112.6426,0.004,-0.1765,0.1343,0,9,16
2021-May,Malaysia,-0.006769852,0.01673441,98.67,0.012624591,112.6426,0.0018,-0.1765,0.1343,0,9,17
2021-May,Colombia,-0.011069852,0.00494479,96.1,-0.02496088,112.6426,0.0082,-0.1765,0.1343,0,9,18
2021-May,Peru,-0.003286902,0.00900165,88.97,-0.008963899,112.6426,0.009,-0.1765,0.1343,0,9,19
2021-May,Norway,-0.032496095,0.02061075,107.04,0.027812679,112.6426,0.0071,-0.1765,0.1343,0,9,20
2021-May,New_Zealand,-0.040145742,0.00213819,106.44,0.025031357,112.6426,0.0072,-0.1765,0.1343,0,9,21
2021-May,South_Africa,-0.039260524,0.00462282,113.35,0.01864013,112.6426,0.0055,-0.1765,0.1343,0,9,22
2021-May,Chile,-0.012750064,0.01298899,107.99,0.013841535,112.6426,0.008,-0.1765,0.1343,0,9,23
2021-May,Canada,-0.02715247,0.00632774,107.9,0.021653359,112.6426,0.0036,-0.1765,0.1343,0,9,24
2021-May,Australia,-0.030989875,0.01062554,108.41,0.015674302,112.6426,0.0056,-0.1765,0.1343,0,9,25
2021-May,Mexico,0.000757327,0.00201495,106.22,0.009643846,112.6426,0.0054,-0.1765,0.1343,0,9,26
2021-May,Brazil,0.048822749,0.00334194,96.4,0.035221971,112.6426,0.0077,-0.1765,0.1343,0,9,27
2021-May,Russia,0.003761331,0.01304342,96.19,0.005718054,112.6426,0.0044,-0.1765,0.1343,0,9,28
2021-Apr,Ireland,0.017077509,0.00130297,100.83,-0.029075235,113.3497,0.0032,0.0625,-0.2024,0,10,13
2021-Apr,Indonesia,0.011492378,0.00323663,97.07,-0.019472103,113.3497,0.0017,0.0625,-0.2024,0,10,14
2021-Apr,Netherlands,0.017077509,0.00313823,100.61,-0.029075235,113.3497,0.0032,0.0625,-0.2024,0,10,15
